Id,AreaId,District,Latitude,Longitude
279,486,Svågertorps station,55.5475,12.9913888888889
280,486,Södertorp,55.5777777777778,12.9916666666667
281,486,Vintrie,55.5544444444444,12.9633333333333
282,486,Ärtholmen,55.5780555555556,12.9847222222222
283,486,Almgården,55.5708333333333,13.065
284,486,Elisedal,55.5669444444444,13.0744444444444
285,486,Fortuna Hemgården,55.5980555555556,13.1094444444444
286,486,Gyllins trädgård,55.5916666666667,13.095
287,486,Husie,55.5777777777778,13.0833333333333
288,486,Höja,55.5836111111111,13.0622222222222
289,486,Jägersro,55.5733333333333,13.0641666666667
290,486,Jägersro villastad,55.5763888888889,13.0680555555556
291,486,Kvarnby,55.5758333333333,13.0994444444444
292,486,Riseberga,55.5994444444444,13.0777777777778
293,486,Stenkällan,55.5816666666667,13.0736111111111
294,486,Södra Sallerup,55.585,13.1202777777778
295,486,Toftanäs,55.6,13.0986111111111
296,486,Videdal,55.5905555555556,13.0638888888889
297,486,Virentofta,55.5877777777778,13.0769444444444
298,486,Östra Skrävlinge,55.5891666666667,13.0944444444444
299,486,Almhög,55.5755555555556,13.0227777777778
300,486,Almvik,55.5588888888889,13.0061111111111
301,486,Augustenborg,55.5797222222222,13.0247222222222
302,486,Eriksfält,55.5747222222222,13.01
303,486,Fosie,55.5638888888889,13.0277777777778
304,486,Fosie landskommun,55.56,13.03
305,486,Fosieby,55.5616666666667,13.0238888888889
306,486,Fosieby industriområde,55.5588888888889,13.0466666666667
307,486,Fosiestenen,55.56058,13.02825
308,486,Fredriksberg,55.5594444444444,13.0658333333333
309,486,Gullvik,55.5697222222222,13.0352777777778
310,486,Gullviksborg,55.5691666666667,13.0261111111111
311,486,Heleneholm,55.5788888888889,13.0144444444444
312,486,Hermodsdal,55.5672222222222,13.0175
313,486,Hindby,55.5752777777778,13.0394444444444
314,486,Kastanjegården,55.5561111111111,13.0233333333333
315,486,Lindängen,55.5591666666667,13.0155555555556
316,486,Nydala,55.5716666666667,13.0169444444444
317,486,Söderkulla,55.5677777777778,13.0077777777778
318,651,Västra Staffanstorp,55.640767,13.198394
319,651,Östra Staffanstorp,55.642889,13.225535
320,792,Centrala Trelleborg,55.379729,13.160199
321,792,Västra Trelleborg,55.378702,13.137754
322,792,Östra Trelleborg,55.369777,13.197159
323,870,Hälsobacken,55.440847,13.828663
324,870,Regementet,55.432815,13.841841
325,870,Sandskogen,55.431135,13.856462
326,870,Surbrunnen,55.436099,13.825439
327,870,Öja industriområde,55.456438,13.844368
328,870,Östra förstaden,55.430829,13.83648
329,870,Östra industriområdet,55.447281,13.839066
330,870,Egna hem,55.432817,13.825214
331,870,Gamla staden,55.430008,13.821361
332,870,Hamnen,55.423376,13.827944
333,870,Bellevue,55.434605,13.809708
334,870,Edvinshem,55.427112,13.794889
335,870,Gjuteriet,55.42579,13.805322
336,870,Källesjö,55.439158,13.791194
337,870,Solbacken,55.441127,13.812351
338,870,Västra sjöstaden,55.431829,13.784784
339,870,Västra industriområdet,55.427559,13.775013
340,870,Åkesholm,55.436177,13.793346
341,913,Centrum,56.245401,12.862962
342,913,Rebbelberga,56.250035,12.866101
343,913,Haradal,56.261295,12.86931
344,913,Kronotorp,56.251744,12.872196
345,913,Roslunda,56.255371,12.878793
346,913,Ängelholms Havsbad,56.259833,12.840024
347,913,Karlshalla,56.232812,12.849751
348,913,Villan,56.233714,12.880911
